from,https://tools.miku.ac/cpu_rank/,https://tools-api-cn.hazymoon.vip/cpu_rank,,
,name,score,percentage,
478,Intel Xeon E5-2675 v3 @ 1.80GHz,11960,14,
479,Intel Core i5-10505 @ 3.20GHz,11942,14,
480,Intel Xeon E5-2673 v2 @ 3.30GHz,11919,14,
481,Intel Xeon E5-2650L v4 @ 1.70GHz,11918,14,
482,Intel Xeon E5-2650 v3 @ 2.30GHz,11892,14,
483,AMD Ryzen 3 5400U,11888,14,
484,Intel Core i5-10600T @ 2.40GHz,11871,14,
485,Intel Core i5-1155G7 @ 2.50GHz,11851,14,
486,Intel Xeon E5-2650L v3 @ 1.80GHz,11836,13,
487,AMD EPYC 7251 8-Core,11811,13,
488,Intel Xeon E5-2663 v3 @ 2.80GHz,11777,13,
489,Intel Xeon E5-2640 v4 @ 2.40GHz,11732,13,
490,Intel Xeon D-2146NT @ 2.30GHz,11718,13,
491,AMD Ryzen 3 3100,11694,13,
492,Intel Xeon D-1577 @ 1.30GHz,11645,13,
493,Intel Core i7-1185G7E @ 2.80GHz,11645,13,
494,Intel Xeon E5-2670 v2 @ 2.50GHz,11613,13,
495,Intel Core i7-9750HF @ 2.60GHz,11591,13,
496,Intel Core i7-9850H @ 2.60GHz,11566,13,
497,Intel Xeon E5-2648L v4 @ 1.80GHz,11547,13,
498,Intel Core i7-9700E @ 2.60GHz,11544,13,
499,Intel Xeon E5-4669 v4 @ 2.20GHz,11523,13,
500,Intel Core i5-1145G7E @ 2.60GHz,11488,13,
501,Intel Core i5-11300H @ 3.10GHz,11405,13,
502,Intel Xeon E5-1650 v4 @ 3.60GHz,11370,13,
503,AMD Ryzen 3 4300GE,11356,13,
504,AMD Ryzen 3 PRO 4350GE,11354,13,
505,Intel Xeon E5-4627 v3 @ 2.60GHz,11344,13,
506,AMD Ryzen 3 PRO 4200G,11315,13,
507,Intel Core i7-6850K @ 3.60GHz,11269,13,
508,Intel Core i7-9750H @ 2.60GHz,11258,13,
509,AMD Ryzen 5 4500U,11179,13,
510,Intel Xeon Silver 4208 @ 2.10GHz,11163,13,
511,Intel Xeon W-2225 @ 4.10GHz,11153,13,
512,Intel Xeon E5-2643 v4 @ 3.40GHz,11152,13,
513,Intel Xeon E5-2640 v3 @ 2.60GHz,11140,13,
514,Intel Xeon E-2226G @ 3.40GHz,11119,13,
515,Intel Xeon E5-2630 v4 @ 2.20GHz,11104,13,
516,Intel Xeon E5-2628L v4 @ 1.90GHz,11079,13,
517,AMD Ryzen 3 4300G,11054,13,
518,Intel Xeon E5-2470 v2 @ 2.40GHz,10950,12,
519,AMD Ryzen 3 PRO 4200GE,10930,12,
520,Intel Core i7-1185G7 @ 3.00GHz,10924,12,
521,Intel Xeon E-2126G @ 3.30GHz,10922,12,
522,Apple A12X Bionic,10920,12,
523,Intel Core i9-8950HK @ 2.90GHz,10883,12,
524,Intel Xeon E5-2630L v4 @ 1.80GHz,10864,12,
525,Intel Core i5-1145G7 @ 2.60GHz,10846,12,
526,Intel Core i5-9600KF @ 3.70GHz,10840,12,
527,Intel Xeon E5-4650 v3 @ 2.10GHz,10838,12,
528,AMD Ryzen 3 PRO 4350G,10817,12,
529,Intel Core i5-9600K @ 3.70GHz,10804,12,
530,ARM Neoverse-N1 16 Core 0 MHz,10748,12,
531,Intel Core i5-10500T @ 2.30GHz,10738,12,
532,Intel Xeon E-2176M @ 2.70GHz,10729,12,
533,Intel Core i7-9700TE @ 1.80GHz,10722,12,
534,Intel Xeon E-2186M @ 2.90GHz,10721,12,
535,Intel Core i7-9700T @ 2.00GHz,10686,12,
536,Intel Core i7-1165G7 @ 2.80GHz,10683,12,
537,Intel Core i7-8700T @ 2.40GHz,10629,12,
538,Intel Core i7-6800K @ 3.40GHz,10587,12,
539,Intel Core i5-1130G7 @ 1.10GHz,10540,12,
540,Intel Xeon E5-4620 v3 @ 2.00GHz,10509,12,
541,Intel Core i7-8850H @ 2.60GHz,10483,12,
542,Intel Xeon E5-2643 v3 @ 3.40GHz,10473,12,
543,Intel Core i5-9600 @ 3.10GHz,10467,12,
544,Intel Xeon E5-2618L v3 @ 2.30GHz,10464,12,
545,Intel Core i7-1160G7 @ 1.20GHz,10454,12,
546,Intel Xeon E5-2660 v2 @ 2.20GHz,10409,12,
547,Intel Core i7-3740 @ 3.40GHz,10408,12,
548,AMD Ryzen 5 PRO 1600,10401,12,
549,Intel Xeon E5-1650 v3 @ 3.50GHz,10381,12,
550,Intel Xeon E5-4640 v3 @ 1.90GHz,10372,12,
551,Intel Xeon Silver 4109T @ 2.00GHz,10348,12,
552,Intel Core i5-9500F @ 3.00GHz,10299,12,
553,Intel Xeon E5-2658 v2 @ 2.40GHz,10280,12,
554,Intel Xeon E5-2630 v3 @ 2.40GHz,10278,12,
555,Intel Xeon Silver 4110 @ 2.10GHz,10265,12,
556,Intel Core i7-5930K @ 3.50GHz,10263,12,
557,AMD EPYC 3201,10258,12,
558,Intel Core i7-1068NG7 @ 2.30GHz,10251,12,
559,Intel Xeon E5-1660 v2 @ 3.70GHz,10228,12,
560,Intel Xeon W-2125 @ 4.00GHz,10205,12,
561,AMD Ryzen 3 PRO 4450U,10182,12,
562,Intel Core i5-1135G7 @ 2.40GHz,10181,12,
563,Intel Core i5-1140G7 @ 1.10GHz,10179,12,
564,Intel Core i3-10320 @ 3.80GHz,10157,12,
565,Intel Core i5-8600K @ 3.60GHz,10149,12,
566,Intel Core i7-8750H @ 2.20GHz,10139,12,
567,Intel Core i5-10400T @ 2.00GHz,10103,12,
568,Intel Core i3-1125G4 @ 2.00GHz,10101,12,
569,Intel Core i7-10710U @ 1.10GHz,10082,11,
570,AMD Ryzen 3 5300U,10081,11,
571,Intel Core i7-4960X @ 3.60GHz,9995,11,
572,Intel Xeon E5-2628L v3 @ 2.00GHz,9949,11,
573,Intel Xeon E5-2650 v2 @ 2.60GHz,9947,11,
574,Intel Xeon E5-2690 @ 2.90GHz,9886,11,
575,Intel Core i5-8600 @ 3.10GHz,9879,11,
576,Intel Xeon E5-2648L v3 @ 1.80GHz,9847,11,
577,Intel Core i7-5820K @ 3.30GHz,9836,11,
578,Intel Core i5-1038NG7 @ 2.00GHz,9824,11,
579,Intel Xeon E-2234 @ 3.60GHz,9818,11,
580,Intel Xeon E-2244G @ 3.80GHz,9813,11,
581,Intel Core i7-7740X @ 4.30GHz,9809,11,
582,Intel Xeon E5-2689 @ 2.60GHz,9772,11,
583,Intel Core i5-9500 @ 3.00GHz,9760,11,
584,Intel Xeon E5-2687W @ 3.10GHz,9709,11,
585,Intel Core i3-10305 @ 3.80GHz,9689,11,
586,Intel Core i7-7700K @ 4.20GHz,9688,11,
587,AMD Ryzen 5 3350GE,9684,11,
588,Intel Xeon E-2276ME @ 2.80GHz,9680,11,
589,AMD Ryzen 5 PRO 3350GE,9643,11,
590,Intel Xeon E-2274G @ 4.00GHz,9639,11,
591,Intel Core i5-8500 @ 3.00GHz,9603,11,
592,AMD Ryzen 5 PRO 3350G,9547,11,
593,Intel Core i5-9400F @ 2.90GHz,9544,11,
594,Intel Xeon D-1541 @ 2.10GHz,9544,11,
595,Intel Xeon E-2174G @ 3.80GHz,9496,11,
596,Intel Core i5-9400 @ 2.90GHz,9488,11,
597,Intel Core i7 X 990 @ 3.47GHz,9439,11,
598,Intel Xeon Gold 5222 @ 3.80GHz,9428,11,
599,AMD Ryzen 5 2500X,9407,11,
600,AMD Ryzen 5 PRO 1500,9404,11,
601,Intel Core i5-8500B @ 3.00GHz,9383,11,
602,AMD Ryzen 5 PRO 3400G,9379,11,
603,Intel Xeon E5-4655 v3 @ 2.90GHz,9377,11,
604,Intel Core i7-4930K @ 3.40GHz,9360,11,
605,AMD Ryzen 5 3400G,9349,11,
606,Intel Xeon E5-2680 @ 2.70GHz,9346,11,
607,Intel Core i3-10300 @ 3.70GHz,9344,11,
608,Intel Xeon E5-4627 v2 @ 3.30GHz,9320,11,
609,Intel Xeon Silver 4108 @ 1.80GHz,9302,11,
610,Intel Xeon E-2144G @ 3.60GHz,9288,11,
611,Intel Xeon E3-1285 v6 @ 4.10GHz,9276,11,
612,Intel Xeon E5-1650 v2 @ 3.50GHz,9276,11,
613,Intel Xeon D-1567 @ 2.10GHz,9236,11,
614,Intel Xeon D-1587 @ 1.70GHz,9223,11,
615,Intel Xeon E5-2651 v2 @ 1.80GHz,9216,11,
616,Intel Xeon E3-1275 v6 @ 3.80GHz,9215,10,
617,Intel Core i5-9500TE @ 2.20GHz,9212,10,
618,Intel Core i5-8400 @ 2.80GHz,9210,10,
619,Intel Core i3-10105F @ 3.70GHz,9188,10,
620,Intel Xeon E5-2629 v3 @ 2.40GHz,9139,10,
621,Intel Core i7-9850HL @ 1.90GHz,9112,10,
622,Intel Xeon E5-2643 v2 @ 3.50GHz,9095,10,
623,Intel Xeon E3-1280 v6 @ 3.90GHz,9087,10,
624,AMD Ryzen 5 1500X,9075,10,
625,Intel Xeon D-1548 @ 2.00GHz,9075,10,
626,Intel Xeon E5-4648 v3 @ 1.70GHz,9061,10,
627,AMD Ryzen 5 3350G,9036,10,
628,AMD Ryzen 5 3400GE,9028,10,
629,Intel Core i3-10100 @ 3.60GHz,8982,10,
630,Intel Core i7-6700K @ 4.00GHz,8955,10,
631,Intel Xeon E5-2620 v4 @ 2.10GHz,8948,10,
632,Intel Xeon E5-2670 @ 2.60GHz,8945,10,
633,Intel Core i7 X 980 @ 3.33GHz,8941,10,
634,Intel Core i5-10400H @ 2.60GHz,8918,10,
635,Intel Core i5-3170K @ 3.20GHz,8882,10,
636,Intel Core i3-10100F @ 3.60GHz,8834,10,
637,Intel Core i3-10105 @ 3.70GHz,8812,10,
638,Intel Core i7 980 @ 3.33GHz,8808,10,
639,Intel Core i7-1065G7 @ 1.30GHz,8799,10,
640,Intel Core i7-8809G @ 3.10GHz,8791,10,
641,Intel Xeon E5-2630L v3 @ 1.80GHz,8779,10,
642,Intel Core i5-10300H @ 2.50GHz,8759,10,
643,Intel Xeon E3-1240 v6 @ 3.70GHz,8745,10,
644,AMD Ryzen 5 2400G,8745,10,
645,Intel Xeon E-2134 @ 3.50GHz,8741,10,
646,Intel Xeon E3-1270 v6 @ 3.80GHz,8716,10,
647,AMD EPYC 7B12,8713,10,
648,Intel Xeon W-2223 @ 3.60GHz,8660,10,
649,Intel Core i7-8559U @ 2.70GHz,8654,10,
650,Intel Core i7-7700 @ 3.60GHz,8619,10,
651,Intel Xeon E5-2648L v2 @ 1.90GHz,8611,10,
652,Intel Xeon Gold 5122 @ 3.60GHz,8598,10,
653,Intel Xeon E5-4650 @ 2.70GHz,8589,10,
654,Intel Xeon W-2123 @ 3.60GHz,8588,10,
655,Intel Core i7-8569U @ 2.80GHz,8585,10,
656,Intel Core i7-3960X @ 3.30GHz,8576,10,
657,Intel Core i7-10810U @ 1.10GHz,8550,10,
658,Intel Xeon E3-1245 v6 @ 3.70GHz,8533,10,
659,Apple A14 Bionic,8528,10,
660,Intel Core i7 970 @ 3.20GHz,8503,10,
661,Intel Core i5-10200H @ 2.40GHz,8502,10,
662,Intel Xeon E5-2628 v3 @ 2.50GHz,8447,10,
663,Intel Xeon E5-2665 @ 2.40GHz,8443,10,
664,Intel Xeon E5-4650L @ 2.60GHz,8415,10,
665,Intel Xeon E3-1585 v5 @ 3.50GHz,8408,10,
666,Intel Xeon E3-1275 v5 @ 3.60GHz,8401,10,
667,Intel Core i5-1035G7 @ 1.20GHz,8388,10,
668,Intel 0000 @ 2.80GHz,8387,10,
669,Intel Xeon E5-1660 @ 3.30GHz,8373,10,
670,AMD Ryzen Embedded V1807B,8359,10,
671,AMD Ryzen 5 PRO 2400G,8331,9,
672,AMD Ryzen 7 3750H,8325,9,
673,Intel Xeon E3-1280 v5 @ 3.70GHz,8320,9,
674,Intel Xeon E3-1270 v5 @ 3.60GHz,8317,9,
675,Intel Core i5-1035G4 @ 1.10GHz,8298,9,
676,Intel Core i7-3970X @ 3.50GHz,8290,9,
677,Intel Core i5-9600T @ 2.30GHz,8280,9,
678,Intel Core i5-9400H @ 2.50GHz,8272,9,
679,Intel Xeon E3-1230 v6 @ 3.50GHz,8266,9,
680,Intel Core i7-3930K @ 3.20GHz,8245,9,
681,Intel Xeon E3-1240 v5 @ 3.50GHz,8241,9,
682,Intel Xeon E5-2470 @ 2.30GHz,8240,9,
683,Intel Core i7-8557U @ 1.70GHz,8225,9,
684,Intel Xeon E3-1535M v6 @ 3.10GHz,8217,9,
685,AMD Ryzen Embedded V1756B,8215,9,
686,Intel Core i5-9500T @ 2.20GHz,8214,9,
687,DO-Premium-Intel,8211,9,
688,Intel Xeon E5-2660 @ 2.20GHz,8211,9,
689,AMD Ryzen 5 PRO 3400GE,8208,9,
690,Apple M1,8207,9,
691,Intel Core i7-1185GRE @ 2.80GHz,8159,9,
692,Intel Core i7-8706G @ 3.10GHz,8136,9,
693,Intel Core i3-10305T @ 3.00GHz,8136,9,
694,AMD Ryzen 5 2400GE,8134,9,
695,Intel Core i5-8259U @ 2.30GHz,8129,9,
696,AMD Ryzen 3 PRO 2200,8103,9,
697,Intel Xeon E5-1650 @ 3.20GHz,8098,9,
698,Intel Core i5-8600T @ 2.30GHz,8093,9,
699,Intel Core i5-8400H @ 2.50GHz,8073,9,
700,Intel Core i7-4790K @ 4.00GHz,8061,9,
701,AMD Ryzen 5 3550H,8059,9,
702,Intel Core i5-8279U @ 2.40GHz,8059,9,
703,Intel Core i5-8269U @ 2.60GHz,8055,9,
704,Intel Core i7-6700 @ 3.40GHz,8055,9,
705,Intel Xeon E3-1245 v5 @ 3.50GHz,8053,9,
706,AMD Opteron 6348,8030,9,
707,Intel Xeon E3-1585L v5 @ 3.00GHz,8021,9,
708,Intel Xeon E3-1285L v4 @ 3.40GHz,7983,9,
709,11th Gen Intel Core i7-1185G7 @ 3.00GHz,7979,9,
710,Intel Xeon D-1531 @ 2.20GHz,7967,9,
711,Intel Xeon E3-1230 v5 @ 3.40GHz,7959,9,
712,Intel Xeon E3-1515M v5 @ 2.80GHz,7938,9,
713,Intel Core i7-8709G @ 3.10GHz,7921,9,
714,Intel Xeon E5-2620 v3 @ 2.40GHz,7915,9,
715,Intel Core i3-10105T @ 3.00GHz,7914,9,
716,Intel Core i7-8705G @ 3.10GHz,7904,9,
717,Intel Core i5-8260U @ 1.60GHz,7869,9,
718,Intel Xeon E3-1545M v5 @ 2.90GHz,7848,9,
719,Intel Core i5-9300H @ 2.40GHz,7845,9,
720,Intel Core i5-1035G1 @ 1.00GHz,7822,9,
721,Intel Xeon X 000 @ 2.67GHz,7817,9,
722,Intel Core i7-7700T @ 2.90GHz,7810,9,
723,AMD Ryzen 5 1400,7805,9,
724,AMD Ryzen 5 3580U,7797,9,
725,Intel Core i7-5775C @ 3.30GHz,7797,9,
726,Intel Core i7-7820HK @ 2.90GHz,7781,9,
727,Intel Core i3-10300T @ 3.00GHz,7780,9,
728,Intel Core i3-9350K @ 4.00GHz,7760,9,
729,Intel Core i7-5950HQ @ 2.90GHz,7759,9,
730,Intel Xeon E3-1260L v5 @ 2.90GHz,7757,9,
731,Intel Xeon D-2123IT @ 2.20GHz,7731,9,
732,Intel Xeon E5-2640 v2 @ 2.00GHz,7730,9,
733,Intel Xeon E3-1575M v5 @ 3.00GHz,7721,9,
734,Intel Core i5-9400T @ 1.80GHz,7721,9,
735,AMD Ryzen 3 PRO 1300,7717,9,
736,Intel Core i5-8500T @ 2.10GHz,7704,9,
737,AMD Athlon Gold PRO 3150G,7702,9,
738,AMD Ryzen 5 3550U,7681,9,
739,Intel Core i5-9300HF @ 2.40GHz,7664,9,
740,Intel Xeon E3-1270L v4 @ 3.00GHz,7662,9,
741,AMD Ryzen 7 2800H,7656,9,
742,AMD Ryzen 3 4300U,7637,9,
743,Intel Core i5-8257U @ 1.40GHz,7620,9,
744,Intel Xeon E5-1630 v4 @ 3.70GHz,7619,9,
745,Intel Xeon E3-1285 v4 @ 3.50GHz,7614,9,
746,Intel Xeon E5-2637 v3 @ 3.50GHz,7605,9,
747,Intel Xeon E5-2623 v4 @ 2.60GHz,7582,9,
748,Intel Core i7-7920HQ @ 3.10GHz,7566,9,
749,AMD Ryzen 7 3780U,7549,9,
750,Intel Core i5-8300H @ 2.30GHz,7541,9,
751,AMD Ryzen 5 2600H,7537,9,
752,Intel Xeon E-2124G @ 3.40GHz,7534,9,
753,Intel Xeon E3-1535M v5 @ 2.90GHz,7522,9,
754,Intel Core i3-9350KF @ 4.00GHz,7520,9,
755,AMD Ryzen 5 PRO 2400GE,7496,9,
756,Intel Core i3-10100T @ 3.00GHz,7483,9,
757,Intel Xeon E-2224G @ 3.50GHz,7477,9,
758,Intel Xeon E5-2650L v2 @ 1.70GHz,7475,9,
759,Intel Xeon E5-2630 v2 @ 2.60GHz,7469,9,
760,Intel Xeon E5-2667 @ 2.90GHz,7469,9,
761,AMD Ryzen 3 2300X,7462,9,
762,Intel Xeon E5-1630 v3 @ 3.70GHz,7461,9,
763,Intel Core i7-7820EQ @ 3.00GHz,7453,8,
764,Intel Xeon E3-1271 v3 @ 3.60GHz,7423,8,
765,Intel Xeon E3-1286 v3 @ 3.70GHz,7418,8,
766,AMD Ryzen 3 3200GE,7408,8,
767,Intel Xeon E5-1620 v4 @ 3.50GHz,7404,8,
768,Intel Xeon E3-1276 v3 @ 3.60GHz,7381,8,
769,Intel Core i5-8400T @ 1.70GHz,7378,8,
770,Intel Core i7-5775R @ 3.30GHz,7373,8,
771,Intel Core i7-6920HQ @ 2.90GHz,7371,8,
772,Intel Xeon @ 2.00GHz,7363,8,
773,Intel Core i3-9320 @ 3.70GHz,7358,8,
774,AMD Ryzen 7 3700U,7356,8,
775,11th Gen Intel Core i7-11700T @ 1.40GHz,7352,8,
776,AMD Opteron 6380,7336,8,
777,AMD Ryzen 7 PRO 3700U,7325,8,
778,Intel Xeon E5-2450 @ 2.10GHz,7321,8,
779,Intel Xeon E5-2650 @ 2.00GHz,7319,8,
780,Intel Core i7-1060NG7 @ 1.20GHz,7316,8,
781,Intel Xeon E5-4640 @ 2.40GHz,7308,8,
782,Intel Xeon E-2224 @ 3.40GHz,7297,8,
783,Intel Core i3-9300 @ 3.70GHz,7279,8,
784,AMD Opteron 6281,7279,8,
785,Intel Core i7-6700T @ 2.80GHz,7273,8,
786,Intel Core i7-6770HQ @ 2.60GHz,7252,8,
787,Intel Core i7-990X @ 3.47GHz,7245,8,
788,Intel Xeon E3-1281 v3 @ 3.70GHz,7230,8,
789,Intel Xeon E5-4610 v3 @ 1.70GHz,7229,8,
790,AMD Ryzen 3 3200G,7215,8,
791,AMD Athlon Gold PRO 3150GE,7212,8,
792,Intel Xeon E3-1270 v3 @ 3.50GHz,7209,8,
793,Intel Core i7-4790 @ 3.60GHz,7203,8,
794,Intel Xeon E3-1246 v3 @ 3.50GHz,7201,8,
795,Intel Xeon E5-2628L v2 @ 1.90GHz,7181,8,
796,Intel Xeon D-1537 @ 1.70GHz,7176,8,
797,Intel Xeon D-1539 @ 1.60GHz,7175,8,
798,Intel Xeon W3690 @ 3.47GHz,7158,8,
799,Intel Core i7-7820HQ @ 2.90GHz,7155,8,
800,AMD Ryzen 5 3500U,7125,8,
801,AMD Ryzen 7 PRO 2700U,7122,8,
802,Intel Xeon D-1557 @ 1.50GHz,7118,8,
803,Intel Xeon E3-1241 v3 @ 3.50GHz,7116,8,
804,Intel Core i7-4770K @ 3.50GHz,7106,8,
805,Intel Xeon X5679 @ 3.20GHz,7095,8,
806,Intel Core i7-995X @ 3.60GHz,7079,8,
807,Intel Xeon E3-1245 v3 @ 3.40GHz,7074,8,
808,Intel Core i5-8305G @ 2.80GHz,7073,8,
809,AMD Ryzen 3 PRO 3200GE,7071,8,
810,Intel Xeon E3-1275 v3 @ 3.50GHz,7067,8,
811,Intel CC150 @ 3.50GHz,7063,8,
812,AMD Ryzen 3 PRO 3200G,7054,8,
813,Intel Core i7-10610U @ 1.80GHz,7052,8,
814,Intel Core i7-4940MX @ 3.10GHz,7047,8,
815,Intel Xeon E-2124 @ 3.30GHz,7046,8,
816,Intel Core i7-4771 @ 3.50GHz,7044,8,
817,Intel Xeon E3-1240 v3 @ 3.40GHz,7038,8,
818,Intel Core i7-5850EQ @ 2.70GHz,7036,8,
819,Intel Core i7-4770 @ 3.40GHz,7033,8,
820,Intel Core i7-6820HK @ 2.70GHz,7030,8,
821,Intel Xeon E3-1505M v5 @ 2.80GHz,7029,8,
822,Intel Core i7-980 @ 3.33GHz,7023,8,
823,AMD Opteron 6386 SE,7017,8,
824,Intel Xeon E5-1620 v3 @ 3.50GHz,7002,8,
825,Intel Xeon E5-4607 v2 @ 2.60GHz,6986,8,
826,Intel Xeon D-1540 @ 2.00GHz,6982,8,
827,Intel Xeon X5690 @ 3.47GHz,6971,8,
828,Intel Xeon E3-1280 v3 @ 3.60GHz,6965,8,
829,Intel Xeon E3-1231 v3 @ 3.40GHz,6958,8,
830,Intel Core i7-7700HQ @ 2.80GHz,6944,8,
831,Intel Core i7-4790S @ 3.20GHz,6937,8,
832,Intel Core i7-6820HQ @ 2.70GHz,6933,8,
833,Intel 0000 @ 1.70GHz,6928,8,
834,Intel Xeon E5-2440 v2 @ 1.90GHz,6927,8,
835,AMD Opteron 6287 SE,6925,8,
836,Intel Core i7-6820EQ @ 2.80GHz,6924,8,
837,Intel Xeon E3-1285 v3 @ 3.60GHz,6919,8,
838,Intel Xeon E3-1505M v6 @ 3.00GHz,6918,8,
839,AMD Ryzen 3 1300X,6888,8,
840,Intel Core i7-10510U @ 1.80GHz,6888,8,
841,AMD Ryzen 5 PRO 3500U,6884,8,
842,Intel Core i7-6700TE @ 2.40GHz,6879,8,
843,Intel Core i7-5850HQ @ 2.70GHz,6866,8,
844,Intel Xeon E5-2430 v2 @ 2.50GHz,6864,8,
845,Intel Core i5-7600K @ 3.80GHz,6859,8,
846,Intel Xeon W3680 @ 3.33GHz,6849,8,
847,AMD Ryzen Embedded V1605B,6849,8,
848,Intel Xeon E3-1285L v3 @ 3.10GHz,6848,8,
849,Intel Xeon E5-4620 @ 2.20GHz,6830,8,
850,Intel Core i3-8350K @ 4.00GHz,6809,8,
851,AMD Ryzen 7 2700U,6809,8,
852,AMD Ryzen 5 3450U,6807,8,
853,AMD Ryzen 3 2200G,6782,8,
854,Intel Xeon E3-1230 v3 @ 3.30GHz,6776,8,
855,Intel Xeon E5-2448L v2 @ 1.80GHz,6774,8,
856,AMD FX-9590 Eight-Core,6773,8,
857,Intel Core i3-9100F @ 3.60GHz,6768,8,
858,Intel Core i7-4770S @ 3.10GHz,6767,8,
859,Intel Xeon @ 2.80GHz,6764,8,
860,AMD Ryzen 5 PRO 2500U,6763,8,
861,Intel Core i7-4930MX @ 3.00GHz,6753,8,
862,Intel Xeon X5680 @ 3.33GHz,6750,8,
863,Intel Core i7-970 @ 3.20GHz,6747,8,
864,Intel Core i7-980X @ 3.33GHz,6745,8,
865,Intel Core i7-4980HQ @ 2.80GHz,6741,8,
866,Intel Xeon E5-2637 v4 @ 3.50GHz,6727,8,
867,Intel Core i5-10310U @ 1.70GHz,6666,8,
868,Intel Core i5-7600 @ 3.50GHz,6649,8,
869,AMD Ryzen 3 PRO 2200G,6648,8,
870,Intel Xeon E5-2637 v2 @ 3.50GHz,6641,8,
871,Intel Core i7 985 @ 3.47GHz,6641,8,
872,Intel Core i5-7640X @ 4.00GHz,6636,8,
873,Intel Core i3-9100 @ 3.60GHz,6622,8,
874,Intel Xeon E3-1268L v5 @ 2.40GHz,6600,8,
875,Intel Xeon Platinum 8151 @ 3.40GHz,6591,8,
876,Intel Core i7-8665UE @ 1.70GHz,6587,8,
877,Intel Core i7-4960HQ @ 2.60GHz,6584,8,
878,Intel Xeon E5-2623 v3 @ 3.00GHz,6574,7,
879,Intel Xeon E3-1275 V2 @ 3.50GHz,6567,7,
880,Intel Xeon E5-1428L v2 @ 2.20GHz,6566,7,
881,AMD Ryzen 5 2500U,6560,7,
882,Intel Core i7-6700HQ @ 2.60GHz,6557,7,
883,Intel Xeon E5-1620 v2 @ 3.70GHz,6546,7,
884,Intel Xeon Bronze 3106 @ 1.70GHz,6532,7,
885,DO-Premium-AMD,6523,7,
886,Intel Core i7-8665U @ 1.90GHz,6518,7,
887,Intel Xeon W3670 @ 3.20GHz,6515,7,
888,Intel Core i7-4820K @ 3.70GHz,6511,7,
889,Intel Xeon E5-2420 v2 @ 2.20GHz,6504,7,
890,Intel Xeon E3-1265L v4 @ 2.30GHz,6493,7,
891,Intel Core i7-4770R @ 3.20GHz,6464,7,
892,Intel Xeon E3-1280 V2 @ 3.60GHz,6460,7,
893,Intel Xeon E5-4610 @ 2.40GHz,6460,7,
894,Intel Core i5-10210U @ 1.60GHz,6457,7,
895,Intel Xeon E3-1286L v3 @ 3.20GHz,6450,7,
896,Intel Core i7-8650U @ 1.90GHz,6440,7,
897,Intel Core i7-3770K @ 3.50GHz,6436,7,
898,AMD Ryzen 3 2200GE,6433,7,
899,Intel Xeon Silver 4112 @ 2.60GHz,6420,7,
900,Intel Xeon E5-2608L v3 @ 2.00GHz,6415,7,
901,Intel Xeon E3-1290 V2 @ 3.70GHz,6414,7,
902,Intel Xeon E3-1270 V2 @ 3.50GHz,6412,7,
903,Intel Core i5-8365U @ 1.60GHz,6400,7,
904,AMD Opteron 6282 SE,6385,7,
905,Intel Xeon E5-2630L v2 @ 2.40GHz,6376,7,
906,Intel Core i7-3770 @ 3.40GHz,6371,7,
907,Intel Xeon X5675 @ 3.07GHz,6368,7,
908,Intel Core i7-8565U @ 1.80GHz,6367,7,
909,Intel Core i7-4870HQ @ 2.50GHz,6358,7,
910,AMD Opteron 6276,6351,7,
911,Intel Core i3-1115G4 @ 3.00GHz,6350,7,
912,AMD Ryzen 3 PRO 1200,6347,7,
913,Intel Core i7-4790T @ 2.70GHz,6347,7,
914,Intel Xeon E-2254ML @ 1.70GHz,6333,7,
915,Intel Core i5-8350U @ 1.70GHz,6321,7,
916,Intel Core i3-8100B @ 3.60GHz,6317,7,
917,Intel Xeon E5-2640 @ 2.50GHz,6314,7,
918,Intel Core i7-4760HQ @ 2.10GHz,6300,7,
919,Intel Xeon E5-4617 @ 2.90GHz,6298,7,
920,Intel Core i5-6600K @ 3.50GHz,6288,7,
921,Intel Core i7 975 @ 3.33GHz,6284,7,
922,Intel Xeon E3-1240 V2 @ 3.40GHz,6274,7,
923,AMD Ryzen 3 1200,6272,7,
924,Intel Xeon E3-1225 v6 @ 3.30GHz,6264,7,
925,Intel Core i7-4910MQ @ 2.90GHz,6261,7,
926,Intel Core i5-1030NG7 @ 1.10GHz,6252,7,
927,Intel Xeon E5-2620 v2 @ 2.10GHz,6238,7,
928,Intel Xeon E-2104G @ 3.20GHz,6215,7,
929,Intel Xeon X5660 @ 2.80GHz,6213,7,
930,Intel Core i7-3770S @ 3.10GHz,6205,7,
931,Intel Xeon D-1622 @ 2.60GHz,6205,7,
932,Intel Xeon W-2104 @ 3.20GHz,6202,7,
933,Intel Core i7-4770HQ @ 2.20GHz,6191,7,
934,Intel Xeon E3-1245 V2 @ 3.40GHz,6190,7,
935,Intel Core i7-8565UC @ 1.80GHz,6187,7,
936,Intel Xeon E3-1230 V2 @ 3.30GHz,6186,7,
937,Intel Core i7-4850HQ @ 2.30GHz,6176,7,
938,Intel Core i5-7600T @ 2.80GHz,6173,7,
939,Intel Core i3-8100 @ 3.60GHz,6136,7,
940,Intel Core i5-8265U @ 1.60GHz,6133,7,
941,Intel Xeon E5-2630 @ 2.30GHz,6133,7,
942,AMD FX-8370 Eight-Core,6130,7,
943,Intel Xeon X5670 @ 2.93GHz,6117,7,
944,Intel Core i5-6600 @ 3.30GHz,6104,7,
